what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1331763628538
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1331763628538
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1331763628538
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1331763628538
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1331763628538
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1331763628538
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1331763628538
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1331763628554
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1331763628554
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1331763628554
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1331763628554
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1331763628554
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1331763628554
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1331763628617
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1331763628695
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1331763628695
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1331763628695
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1331763628695
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1331763628695
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1331763628695
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1331763628695
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1331763628695
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1331763628711
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1331763628711
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1331763628711
started,bundle,org.eclipse.mylyn.trac.core,3.6.2.v20120207-0100,"org.eclipse.mylyn.trac.core",1331763628711
started,bundle,org.eclipse.mylyn.trac.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.trac.ui",1331763628711
started,bundle,org.eclipse.team.svn.core,0.7.9.I20120210-1700,"org.eclipse.team.svn.core",1331763628711
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1331763628711
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20120210-1700,"org.eclipse.team.svn.ui",1331763628711
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.2.I20120210-1700,"org.polarion.eclipse.team.svn.connector.javahl16",1331763628711
started,bundle,JavaDocAsUmlViewer,0.2.2,"JavaDocAsUmlViewer",1331763628727
os,sysinfo,,,"win32",1331763628727
arch,sysinfo,,,"x86",1331763628727
ws,sysinfo,,,"win32",1331763628727
locale,sysinfo,,,"pt_BR",1331763628727
processors,sysinfo,,,"2",1331763628727
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331763628727
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1331763628727
java.specification.name,sysinfo,,,"Java Platform API Specification",1331763628727
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331763628727
java.specification.version,sysinfo,,,"1.6",1331763628727
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331763628727
java.version,sysinfo,,,"1.6.0_22",1331763628727
java.vm.info,sysinfo,,,"mixed mode",1331763628727
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1331763628727
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331763628727
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331763628727
java.vm.specification.version,sysinfo,,,"1.0",1331763628727
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331763628727
java.vm.version,sysinfo,,,"17.1-b03",1331763628727
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331763640941
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1331763641441
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1331763641456
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1331763641831
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1331763641831
